course_id,title,description,tags,text,provider,subject,level,duration_hours,url
openlearn_6c7b6a6bab03,Understanding mental capacity,"This free course, Understanding mental capacity, covers the principles and criteria underpinning the assessment of mental capacity and decision making in the UK.",,"Understanding mental capacity This free course, Understanding mental capacity, covers the principles and criteria underpinning the assessment of mental capacity and decision making in the UK.",OpenLearn (The Open University),health sports psychology,Introductory,,https://www.open.edu/openlearn/health-sports-psychology/understanding-mental-capacity
openlearn_3cb82e2b183a,Introducing ageing,"Everyone is ageing, whatever their current age, and we live in a world where many people are living much longer than previous generations. This is often seen as a problem. But is it? This free ...",,"Introducing ageing Everyone is ageing, whatever their current age, and we live in a world where many people are living much longer than previous generations. This is often seen as a problem. But is it? This free ...",OpenLearn (The Open University),health sports psychology,Introductory,,https://www.open.edu/openlearn/health-sports-psychology/introducing-ageing
openlearn_74016ba7aa3e,Introducing public health,"This free course, Introducing public health, presents some key elements of public health and health promotion. It considers the scope and focus of public health and how it is subject to change and ...",,"Introducing public health This free course, Introducing public health, presents some key elements of public health and health promotion. It considers the scope and focus of public health and how it is subject to change and ...",OpenLearn (The Open University),health sports psychology,Intermediate,,https://www.open.edu/openlearn/health-sports-psychology/public-health/introducing-public-health/content-section-0
openlearn_9372dac90914,Climate change and renewable energy,"Human-induced climate change and resulting extreme weather events are an increasing and serious threat to the Earth’s ecosystems. This free course, Climate Change and Renewable Energy, describes...",,"Climate change and renewable energy Human-induced climate change and resulting extreme weather events are an increasing and serious threat to the Earth’s ecosystems. This free course, Climate Change and Renewable Energy, describes...",OpenLearn (The Open University),nature environment,Introductory,,https://www.open.edu/openlearn/nature-environment/environmental-studies/climate-change-and-renewable-energy/content-section-0
openlearn_ea865a11e22b,Unsolved problems in cosmology,"The science of cosmology has been very successful in explaining a wide range of observational evidence about the Universe, from the detailed properties of the cosmic microwave background radiation ...",,"Unsolved problems in cosmology The science of cosmology has been very successful in explaining a wide range of observational evidence about the Universe, from the detailed properties of the cosmic microwave background radiation ...",OpenLearn (The Open University),science maths technology,Intermediate,,https://www.open.edu/openlearn/science-maths-technology/unsolved-problems-cosmology
openlearn_606dbdce8ac0,Introducing the psychology of our relationships with fictional villains,"This free course, featuring interviews with famous crime fiction authors, explores psychological theory and research on the relationships we form with fictional characters.",,"Introducing the psychology of our relationships with fictional villains This free course, featuring interviews with famous crime fiction authors, explores psychological theory and research on the relationships we form with fictional characters.",OpenLearn (The Open University),health sports psychology,Introductory,,https://www.open.edu/openlearn/health-sports-psychology/introducing-the-psychology-our-relationships-fictional-villains
openlearn_ef991f98bcdf,Introducing Union Black,"This free course, Introducing Union Black, aims to build your confidence as a change agent for equity, diversity, inclusion and belonging.",,"Introducing Union Black This free course, Introducing Union Black, aims to build your confidence as a change agent for equity, diversity, inclusion and belonging.",OpenLearn (The Open University),education development,Introductory,,https://www.open.edu/openlearn/education-development/introducing-union-black
openlearn_be11b94bf9bf,Everyday maths 1 (Northern Ireland),"This free course will develop and improve your essential maths skills for work, study and everyday life. The course has four sessions, which cover the following topics: numbers, measurement, shapes...",,"Everyday maths 1 (Northern Ireland) This free course will develop and improve your essential maths skills for work, study and everyday life. The course has four sessions, which cover the following topics: numbers, measurement, shapes...",OpenLearn (The Open University),science maths technology,Introductory,,https://www.open.edu/openlearn/science-maths-technology/mathematics-statistics/everyday-maths-1-northern-ireland/content-section-overview
openlearn_8c32de9556ea,Introduction to music theory 2: pitch and notation,"In this free course, you will explore the concept of musical pitch by working with examples of folk, popular, and classical music from several world traditions. You will learn how pitch is ...",,"Introduction to music theory 2: pitch and notation In this free course, you will explore the concept of musical pitch by working with examples of folk, popular, and classical music from several world traditions. You will learn how pitch is ...",OpenLearn (The Open University),history the arts,Introductory,,https://www.open.edu/openlearn/history-the-arts/introduction-music-theory-2-pitch-and-notation
openlearn_208c2a777988,Sporting women in the media,"The mass media (e.g. radio, TV, internet) has become one of the most powerful institutional influences in society. This free course, Sporting women in the media, explores whether gendered ...",,"Sporting women in the media The mass media (e.g. radio, TV, internet) has become one of the most powerful institutional influences in society. This free course, Sporting women in the media, explores whether gendered ...",OpenLearn (The Open University),health sports psychology,Intermediate,,https://www.open.edu/openlearn/health-sports-psychology/sporting-women-the-media
openlearn_846c5460d9d7,Banning the bomb: a global history of activism against nuclear weapons,"In this free course you will learn about the global anti-nuclear movement that has worked for decades to prevent the use of nuclear weapons, with the ultimate aim of abolishing them altogether. You...",,"Banning the bomb: a global history of activism against nuclear weapons In this free course you will learn about the global anti-nuclear movement that has worked for decades to prevent the use of nuclear weapons, with the ultimate aim of abolishing them altogether. You...",OpenLearn (The Open University),history the arts,Introductory,,https://www.open.edu/openlearn/history-the-arts/banning-the-bomb-global-history-activism-against-nuclear-weapons
openlearn_d4fe9506e064,"Approaching language, literature and childhood","This OpenLearn course is an adapted extract from the Open University course L301 Language, literature and childhood.",,"Approaching language, literature and childhood This OpenLearn course is an adapted extract from the Open University course L301 Language, literature and childhood.",OpenLearn (The Open University),education development,Intermediate,,https://www.open.edu/openlearn/education-development/approaching-language-literature-and-childhood
openlearn_2456b15e673f,Carrying out research for policy and advocacy work,"How can you effectively influence decision makers to change laws, regulations or policies? How can your idea to improve an issue or problem be adopted by those in power? If you are involved in law ...",,"Carrying out research for policy and advocacy work How can you effectively influence decision makers to change laws, regulations or policies? How can your idea to improve an issue or problem be adopted by those in power? If you are involved in law ...",OpenLearn (The Open University),society politics law,Intermediate,,https://www.open.edu/openlearn/society-politics-law/carrying-out-research-policy-and-advocacy-work
openlearn_ae8ae7b3463d,Exploring career mentoring and coaching,"Explore what mentors and career coaches do and how a colleague or expert who can ask the right questions, challenge assumptions, and help an individual to find the best solutions for themselves, ...",,"Exploring career mentoring and coaching Explore what mentors and career coaches do and how a colleague or expert who can ask the right questions, challenge assumptions, and help an individual to find the best solutions for themselves, ...",OpenLearn (The Open University),money business,Introductory,,https://www.open.edu/openlearn/money-business/exploring-career-mentoring-and-coaching
openlearn_59d7cd275668,"Gwella profiadau tystion sy’n gleifion, teuluoedd a chydweithwyr o’r broses Addasrwydd i Ymarfer","Mae’r cwrs hwn, sy’n seiliedig ar dystiolaeth, yn darparu dysg ynghylch y broses Addasrwydd i Ymarfer a bod yn dyst.",,"Gwella profiadau tystion sy’n gleifion, teuluoedd a chydweithwyr o’r broses Addasrwydd i Ymarfer Mae’r cwrs hwn, sy’n seiliedig ar dystiolaeth, yn darparu dysg ynghylch y broses Addasrwydd i Ymarfer a bod yn dyst.",OpenLearn (The Open University),health sports psychology,,,https://www.open.edu/openlearn/health-sports-psychology/gwella-profiadau-tystion-syn-gleifion-teuluoedd-chydweithwyr-or-broses-addasrwydd-i-ymarfer
openlearn_65538f6b88db,"Improving patient, family and colleague witnesses’ experiences of Fitness to Practise proceedings",This evidence-based course provides learning about the Fitness to Practise process and being a witness.,,"Improving patient, family and colleague witnesses’ experiences of Fitness to Practise proceedings This evidence-based course provides learning about the Fitness to Practise process and being a witness.",OpenLearn (The Open University),health sports psychology,Introductory,,https://www.open.edu/openlearn/health-sports-psychology/improving-patient-family-and-colleague-witnesses-experiences-fitness-practise-proceedings
openlearn_e8b6cbca4e5a,Promoting the effective management of children’s pain – part 2,This is the second of two OpenLearn courses focusing on the effective management of children’s pain. The focus of the first course was on why pain matters and how a pain management framework can be...,,Promoting the effective management of children’s pain – part 2 This is the second of two OpenLearn courses focusing on the effective management of children’s pain. The focus of the first course was on why pain matters and how a pain management framework can be...,OpenLearn (The Open University),health sports psychology,Intermediate,,https://www.open.edu/openlearn/health-sports-psychology/promoting-the-effective-management-childrens-pain---part-2
openlearn_ccc31f0ad456,Physical and mental health for young children,"This free course will increase your knowledge and skills and show you ways that adults, both parents and professionals, can play an active role in supporting and promoting good health in babies and...",,"Physical and mental health for young children This free course will increase your knowledge and skills and show you ways that adults, both parents and professionals, can play an active role in supporting and promoting good health in babies and...",OpenLearn (The Open University),education development,Introductory,,https://www.open.edu/openlearn/education-development/physical-and-mental-health-young-children
openlearn_fc6141e89489,Introducing music research,Introducing music research provides you with insights into the wide variety of possibilities for studying music at postgraduate level. In this free course you will explore diverse musical topics ...,,Introducing music research Introducing music research provides you with insights into the wide variety of possibilities for studying music at postgraduate level. In this free course you will explore diverse musical topics ...,OpenLearn (The Open University),history the arts,Advanced,,https://www.open.edu/openlearn/history-the-arts/introducing-music-research
openlearn_9d2fc329353a,Diagramming for development 2: exploring interrelationships,"Diagramming for development 2: exploring interrelationships, is a free course that introduces you to the diagramming techniques of Influence diagrams, Multiple Cause Diagrams and Cognitive Maps. ...",,"Diagramming for development 2: exploring interrelationships Diagramming for development 2: exploring interrelationships, is a free course that introduces you to the diagramming techniques of Influence diagrams, Multiple Cause Diagrams and Cognitive Maps. ...",OpenLearn (The Open University),digital computing,Advanced,,https://www.open.edu/openlearn/digital-computing/diagramming-development-2-exploring-interrelationships
openlearn_011d3ba113af,Diagramming for development 1: bounding realities,"Diagramming for development 1: bounding realities, is a free course that introduces you to the systems diagramming techniques of Rich pictures, Spray diagrams and Systems maps. Using a case study ...",,"Diagramming for development 1: bounding realities Diagramming for development 1: bounding realities, is a free course that introduces you to the systems diagramming techniques of Rich pictures, Spray diagrams and Systems maps. Using a case study ...",OpenLearn (The Open University),digital computing,Advanced,,https://www.open.edu/openlearn/digital-computing/diagramming-development-1-bounding-realities
openlearn_e00796525227,Introducing social care and social work,"This free course, Introducing social care and social work, will introduce you to different social care and social work practitioner roles. It will develop your understanding of the context in which...",,"Introducing social care and social work This free course, Introducing social care and social work, will introduce you to different social care and social work practitioner roles. It will develop your understanding of the context in which...",OpenLearn (The Open University),health sports psychology,Introductory,,https://www.open.edu/openlearn/health-sports-psychology/introducing-social-care-and-social-work
openlearn_666a47bb8619,Introduction to differentiation,This free course is an introduction to differentiation. Section 1 looks at gradients of graphs and introduces differentiation from first principles. Section 2 looks at finding derivatives of simple...,,Introduction to differentiation This free course is an introduction to differentiation. Section 1 looks at gradients of graphs and introduces differentiation from first principles. Section 2 looks at finding derivatives of simple...,OpenLearn (The Open University),science maths technology,Introductory,,https://www.open.edu/openlearn/science-maths-technology/introduction-differentiation
openlearn_54c3fb904d0d,Returning to STEM,"This course offers useful skills and solutions to help you get back into a career in science, technology, engineering or mathematics (STEM).",,"Returning to STEM This course offers useful skills and solutions to help you get back into a career in science, technology, engineering or mathematics (STEM).",OpenLearn (The Open University),science maths technology,Advanced,,https://www.open.edu/openlearn/science-maths-technology/returning-stem
openlearn_e739e35b698b,Bun-chùrsa mu bhith a’ dèanamh atharrachadh poilitigeach is sòisealta,"Written in a moment of multiple crises – environmental, economic, political, social and health-related – ‘An Introduction to making political and social change’ gives you a grounding in some of the...",,"Bun-chùrsa mu bhith a’ dèanamh atharrachadh poilitigeach is sòisealta Written in a moment of multiple crises – environmental, economic, political, social and health-related – ‘An Introduction to making political and social change’ gives you a grounding in some of the...",OpenLearn (The Open University),society politics law,Introductory,,https://www.open.edu/openlearn/society-politics-law/bun-chursa-mu-bhith-a-deanamh-atharrachadh-poilitigeach-soisealta
openlearn_2229ac9dffbd,Herodotus and the invention of history,"With the information explosion online, how can you tell fake news from the real thing, or be more sensitive to how information can be weaponised? In the fifth-century BCE, a Greek by the name of ...",,"Herodotus and the invention of history With the information explosion online, how can you tell fake news from the real thing, or be more sensitive to how information can be weaponised? In the fifth-century BCE, a Greek by the name of ...",OpenLearn (The Open University),history the arts,Introductory,,https://www.open.edu/openlearn/history-the-arts/herodotus-and-the-invention-history
openlearn_68479fa627f3,Understanding autism,"Learn about autism, one of the most challenging long-term conditions of the century. This free course, Understanding autism, introduces the autism spectrum, how it is experienced by individuals and...",,"Understanding autism Learn about autism, one of the most challenging long-term conditions of the century. This free course, Understanding autism, introduces the autism spectrum, how it is experienced by individuals and...",OpenLearn (The Open University),science maths technology,Introductory,,https://www.open.edu/openlearn/science-maths-technology/understanding-autism
openlearn_4226d80bb78d,Crime fiction in French: le polar français,"Le polar, crime fiction, is the most popular literary form in France. In this free course, you will discover the origins and development of French crime fiction, along with its current status, ...",,"Crime fiction in French: le polar français Le polar, crime fiction, is the most popular literary form in France. In this free course, you will discover the origins and development of French crime fiction, along with its current status, ...",OpenLearn (The Open University),languages,Intermediate,,https://www.open.edu/openlearn/languages/crime-fiction-french-le-polar-francais
